city,state,latitude,longitude,population
Charleston,WV,38.3484,-81.6322,141640
Ann Arbor,MI,42.2759,-83.731,323593
Westminster,CO,39.8837,-105.0624,114832
Modesto,CA,37.6375,-121.0028,376717
Santa Barbara,CA,34.4285,-119.7202,205215
San Bernardino,CA,34.1416,-117.2943,216784
Overland Park,KS,38.887,-94.687,193412
Chicago,IL,41.8375,-87.6866,8586888
Hollywood,FL,26.0293,-80.1679,153834
South Lyon,MI,42.4614,-83.6526,128071
Tucson,AZ,32.1541,-110.8787,883127
Santa Maria,CA,34.9333,-120.4431,139072
Knoxville,TN,35.9692,-83.9496,603685
Vancouver,WA,45.6366,-122.5967,182792
Des Moines,IA,41.5725,-93.6105,519180
Salem,OR,44.9233,-123.0244,263571
Lancaster,PA,40.042,-76.3012,430621
Vallejo,CA,38.1125,-122.2342,177255
Brooklyn,NY,40.6501,-73.9496,2736074
Bridgeport,CT,41.1918,-73.1954,948918
Glendale,CA,34.1819,-118.2468,199357
Everett,WA,47.9525,-122.1669,110840
Evansville,IN,37.9881,-87.5341,227338
Green Bay,WI,44.5148,-87.9895,214438
Miami,FL,25.784,-80.2101,6076316
Killeen,TX,31.0753,-97.7297,231312
Springfield,MA,42.1155,-72.5395,615728
Kailua,HI,21.392,-157.7396,106260
Burlington,NC,36.076,-79.4685,137096
Bronx,NY,40.8501,-73.8662,1472654
Fort Worth,TX,32.7817,-97.3474,892221
Norwich,CT,41.5495,-72.0882,201726
El Monte,CA,34.0739,-118.0291,113917
Manhattan,NY,40.7834,-73.9662,1694263
Erie,PA,42.1167,-80.0733,189513
Minneapolis,MN,44.9635,-93.2678,2885614
Staten Island,NY,40.5834,-74.1496,495747
Sioux City,IA,42.4959,-96.3901,107932
Cedar Rapids,IA,41.9662,-91.6783,188618
Frisco,TX,33.156,-96.8216,188387
Winston-Salem,NC,36.1029,-80.261,416394
Enterprise,NV,36.0091,-115.2278,214591
Scottsdale,AZ,33.6872,-111.8651,254995
Myrtle Beach,SC,33.7094,-78.8844,281180
Durham,NC,35.9792,-78.9022,391371
Salt Lake City,UT,40.7776,-111.9311,1135747
Austin,TX,30.3005,-97.7522,1685522
Leominster,MA,42.5209,-71.7717,118190
Omaha,NE,41.2627,-96.0529,791432
Fredericksburg,VA,38.2992,-77.4872,155414
Baltimore,MD,39.3051,-76.6144,2270087
Denver,CO,39.762,-104.8758,2709398
Seaside,CA,36.6224,-121.8199,116189
Clarksville,TN,36.5692,-87.3413,183798
Murfreesboro,TN,35.849,-86.4121,169243
Topeka,KS,39.0346,-95.6955,145717
Naperville,IL,41.748,-88.1659,147734
Athens,GA,33.9508,-83.3689,143081
Brandon,FL,27.9367,-82.3,115909
El Paso,TX,31.8476,-106.43,798217
Pearland,TX,29.5581,-95.3218,125817
Arecibo,PR,18.4491,-66.7387,123499
Cary,NC,35.7819,-78.8195,169177
Springfield,IL,39.7709,-89.654,162348
Chula Vista,CA,32.6281,-117.0144,268779
South Bend,IN,41.6767,-86.2696,285569
Arvada,CO,39.832,-105.151,120229
Oklahoma City,OK,35.4676,-97.5136,947247
Asheville,NC,35.5707,-82.5537,312618
Denton,TX,33.2175,-97.1418,425901
Centennial,CO,39.5926,-104.8673,111331
Poughkeepsie,NY,41.695,-73.9211,423386
Victorville,CA,34.5277,-117.3536,350275
Tallahassee,FL,30.4551,-84.2527,254250
Hagerstown,MD,39.6401,-77.7217,194602
Lowell,MA,42.6389,-71.3217,111311
Turlock,CA,37.5053,-120.8588,104719
Sunnyvale,CA,37.3836,-122.0255,152569
Yonkers,NY,40.9466,-73.8673,200183
Rancho Cucamonga,CA,34.1247,-117.5667,178060
Salinas,CA,36.6883,-121.6317,190345
Syracuse,NY,43.0407,-76.1437,407942
Huntington,WV,38.4109,-82.4345,199133
Round Rock,TX,30.527,-97.6642,128812
Eugene,OR,44.0564,-123.1174,270013
Greensboro,NC,36.0956,-79.8271,343505
Portland,ME,43.6773,-70.2715,213986
Fargo,ND,46.8651,-96.8292,205472
Detroit,MI,42.3834,-83.1024,3731486
Warren,MI,42.4934,-83.027,134188
Houston,TX,29.786,-95.3885,5724418
Grand Rapids,MI,42.9619,-85.6562,615273
Atlanta,GA,33.7628,-84.422,5151496
Colorado Springs,CO,38.8674,-104.7605,621332
Cambridge,MA,42.3759,-71.1185,117822
Long Beach,CA,33.7977,-118.167,462081
Garland,TX,32.91,-96.6304,238622
Gilroy,CA,37.0046,-121.5854,114461
Bellingham,WA,48.7548,-122.469,129653
Spokane,WA,47.6671,-117.433,426849
Costa Mesa,CA,33.6667,-117.9135,112958
Iowa City,IA,41.6559,-91.5303,120928
Jurupa Valley,CA,34.001,-117.4706,106646
